full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,62434,62434,10197,38,38,9,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9251,9251,14649,2,2,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1406,1406,2375,2,2,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,44740,44740,3850,14,14,2,https://github.com/hesreallyhim/awesome-claude-code
Alishahryar1/free-claude-code,29353,29353,4409,101,101,15,https://github.com/Alishahryar1/free-claude-code
shanraisshan/claude-code-best-practice,54741,54741,5488,34,34,4,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34364,34364,2807,6,6,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27551,27551,2830,6,6,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,861,861,1197,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,19873,19873,2886,24,24,3,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3149,3149,3799,0,0,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20489,20489,2385,17,17,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2246,2246,3505,1,1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7720,7720,1863,2,2,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10475,10475,1840,3,3,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2713,2713,1690,4,4,0,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9658,9658,1224,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9192,9192,702,1,1,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8468,8468,641,4,4,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1143,1143,2356,3,3,3,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2502,2502,2325,1,1,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,780,780,1748,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3393,3393,730,4,4,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5919,5919,562,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
affaan-m/ECC,191350,191350,29611,322,322,47,https://github.com/affaan-m/ECC
huangserva/claude-code-cli,588,588,1306,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3806,3806,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,10564,10564,1004,24,24,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
1rgs/claude-code-proxy,3602,3602,469,1,1,0,https://github.com/1rgs/claude-code-proxy
