full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,181234,181234,27942,13145,13145,1901,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,60231,60231,9852,3337,3337,498,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9172,9172,14621,137,137,55,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1334,1334,2319,77,77,76,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,43598,43598,3719,2158,2158,238,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,52836,52836,5288,4312,4312,499,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,24329,24329,3615,9073,9073,1509,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,33921,33921,2756,866,866,106,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27246,27246,2768,1605,1605,197,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,830,830,1177,46,46,45,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3127,3127,3789,60,60,18,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,18617,18617,2724,2279,2279,358,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19733,19733,2288,1213,1213,163,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2227,2227,3501,28,28,13,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7554,7554,1823,248,248,63,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10176,10176,1811,599,599,103,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2448,2448,1609,411,411,145,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9633,9633,1223,58,58,6,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9115,9115,693,242,242,31,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8241,8241,614,278,278,34,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,775,775,1749,14,14,5,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,1087,1087,2233,93,93,206,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2438,2438,2292,151,151,59,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3246,3246,705,268,268,28,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5890,5890,554,42,42,12,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,582,582,1304,17,17,7,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3798,3798,557,12,12,3,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3570,3570,466,79,79,9,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2608,2608,508,324,324,61,https://github.com/nicedreamzapp/claude-code-local
lorryjovens-hub/claude-code-rust,1571,1571,622,92,92,22,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4120,4120,407,74,74,13,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3663,3663,615,81,81,13,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,911,911,1112,10,10,-3,https://github.com/777genius/claude-code-source-code
FlorianBruniaux/claude-code-ultimate-guide,4320,4320,569,345,345,36,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
wanshuiyin/Auto-claude-code-research-in-sleep,9211,9211,871,1604,1604,150,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
multica-ai/andrej-karpathy-skills,128219,128219,13006,128219,128219,13006,https://github.com/multica-ai/andrej-karpathy-skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7974,7974,406,171,171,16,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,189,189,285,-1,-1,0,https://github.com/zstmfhy/Claude-code
anthropics/skills,133551,133551,15743,8889,8889,1148,https://github.com/anthropics/skills
kodu-ai/claude-coder,5276,5276,201,-2,-2,2,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2362,2362,406,5,5,3,https://github.com/Yuyz0112/claude-code-reverse
anthropics/claude-code-security-review,4585,4585,436,190,190,33,https://github.com/anthropics/claude-code-security-review
Windy3f3f3f3f/how-claude-code-works,2339,2339,569,312,312,43,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2583,2583,374,83,83,21,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2583,2583,375,74,74,18,https://github.com/fuergaosi233/claude-code-proxy
alejandrobalderas/claude-code-from-source,1922,1922,580,111,111,21,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2819,2819,318,153,153,19,https://github.com/ding113/claude-code-hub
sickn33/antigravity-awesome-skills,37433,37433,6122,2107,2107,315,https://github.com/sickn33/antigravity-awesome-skills
Cranot/claude-code-guide,2712,2712,300,81,81,11,https://github.com/Cranot/claude-code-guide
fazxes/Claude-code,215,215,211,4,4,2,https://github.com/fazxes/Claude-code
rohitg00/awesome-claude-code-toolkit,1644,1644,508,195,195,67,https://github.com/rohitg00/awesome-claude-code-toolkit
AprilNEA/claude-code-source,377,377,615,4,4,4,https://github.com/AprilNEA/claude-code-source
luyao618/Claude-Code-Source-Study,1357,1357,504,109,109,19,https://github.com/luyao618/Claude-Code-Source-Study
anthropics/claude-code-base-action,821,821,604,19,19,3,https://github.com/anthropics/claude-code-base-action
SeemSeam/claude_codex_bridge,2560,2560,254,2560,2560,254,https://github.com/SeemSeam/claude_codex_bridge
https-deeplearning-ai/sc-claude-code-files,509,509,721,12,12,30,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1003,1003,363,31,31,2,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,216,2,2,1,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,367,367,542,6,6,6,https://github.com/JrCx7scC/claude-code-source
luongnv89/claude-howto,32665,32665,3983,3300,3300,373,https://github.com/luongnv89/claude-howto
edmund-io/edmunds-claude-code,1429,1429,284,21,21,1,https://github.com/edmund-io/edmunds-claude-code
